puzzle,AStar nodes expanded,AStar max nodes stored,AStarFrontierSearch nodes expanded,AStarFrontierSearch max nodes stored
"[[5, 1, 9, 10], [11, 12, 2, 14], [4, 15, 8, 0], [7, 13, 3, 6]]",1009,2912,1009,920
"[[9, 13, 15, 11], [4, 6, 7, 0], [12, 5, 2, 1], [10, 14, 8, 3]]",7008,20402,7047,6062
"[[13, 7, 1, 6], [9, 0, 4, 10], [3, 14, 12, 2], [5, 11, 8, 15]]",2055,6040,1970,1805
"[[1, 10, 15, 11], [12, 8, 5, 9], [7, 14, 2, 13], [6, 0, 3, 4]]",2846,8395,3050,2639
"[[5, 8, 9, 2], [11, 10, 1, 0], [7, 13, 12, 14], [3, 15, 6, 4]]",1683,4970,1678,1555
"[[10, 7, 3, 11], [2, 12, 5, 13], [1, 4, 14, 9], [0, 6, 15, 8]]",912,2755,912,886
"[[6, 5, 4, 9], [13, 1, 15, 10], [8, 7, 14, 3], [11, 0, 2, 12]]",4435,12919,4292,3804
"[[13, 1, 15, 6], [0, 11, 4, 10], [12, 3, 9, 14], [8, 5, 7, 2]]",2924,8632,2876,2599
"[[7, 8, 10, 0], [14, 3, 13, 11], [4, 1, 9, 5], [15, 2, 12, 6]]",2870,8237,2835,2498
"[[8, 10, 11, 0], [9, 13, 2, 4], [3, 5, 14, 7], [12, 1, 6, 15]]",5882,17346,6140,5174
"[[10, 15, 5, 8], [9, 3, 11, 4], [12, 13, 7, 0], [14, 2, 6, 1]]",2328,6839,2296,2091
"[[9, 1, 2, 12], [14, 15, 7, 8], [4, 6, 10, 13], [0, 3, 5, 11]]",1377,4132,1301,1241
